year,quarter,state,district,registeredusers
2021,Q2,Odisha,Ganjam,772409
2021,Q2,Odisha,Baleshwar,596366
2021,Q2,Odisha,Jajapur,518570
2021,Q2,Odisha,Sundargarh,482937
2021,Q2,Odisha,Puri,462146
2021,Q2,Odisha,Bhadrak,392928
2021,Q2,Odisha,Kendujhar,379263
2021,Q2,Odisha,Mayurbhanj,342898
2021,Q1,Odisha,Khordha,1415897
2021,Q1,Odisha,Cuttack,784846
2021,Q1,Odisha,Ganjam,721311
2021,Q1,Odisha,Baleshwar,557273
2021,Q1,Odisha,Jajapur,484003
2021,Q1,Odisha,Sundargarh,450776
2021,Q1,Odisha,Puri,431553
2021,Q1,Odisha,Bhadrak,366825
2021,Q1,Odisha,Kendujhar,352967
2021,Q1,Odisha,Mayurbhanj,318465
2021,Q4,Odisha,Khordha,1725313
2021,Q4,Odisha,Cuttack,962341
2021,Q4,Odisha,Ganjam,889686
2021,Q4,Odisha,Baleshwar,685881
2021,Q4,Odisha,Jajapur,598043
2021,Q4,Odisha,Sundargarh,556973
2021,Q4,Odisha,Puri,531127
2021,Q4,Odisha,Bhadrak,452384
2021,Q4,Odisha,Kendujhar,440078
2021,Q4,Odisha,Mayurbhanj,399076
2021,Q3,Odisha,Khordha,1618171
2021,Q3,Odisha,Cuttack,900706
2021,Q3,Odisha,Ganjam,831869
2021,Q3,Odisha,Baleshwar,641826
2021,Q3,Odisha,Jajapur,558822
2021,Q3,Odisha,Sundargarh,520155
2021,Q3,Odisha,Puri,497069
2021,Q3,Odisha,Bhadrak,423068
2021,Q3,Odisha,Kendujhar,410049
2021,Q3,Odisha,Mayurbhanj,371425
2022,Q3,Odisha,Khordha,2025108
2022,Q3,Odisha,Cuttack,1135881
2022,Q3,Odisha,Ganjam,1054407
2022,Q3,Odisha,Baleshwar,812109
2022,Q3,Odisha,Jajapur,709685
2022,Q3,Odisha,Sundargarh,658859
2022,Q3,Odisha,Puri,627710
2022,Q3,Odisha,Bhadrak,535581
2022,Q3,Odisha,Kendujhar,523219
2022,Q3,Odisha,Mayurbhanj,475312
2022,Q2,Odisha,Khordha,1924289
2022,Q2,Odisha,Cuttack,1077286
2022,Q2,Odisha,Ganjam,999398
2022,Q2,Odisha,Baleshwar,769737
2022,Q2,Odisha,Jajapur,672209
2022,Q2,Odisha,Sundargarh,625606
2022,Q2,Odisha,Puri,595694
2022,Q2,Odisha,Bhadrak,507695
2022,Q2,Odisha,Kendujhar,496154
2022,Q2,Odisha,Mayurbhanj,451049
2022,Q4,Odisha,Khordha,2124474
2022,Q4,Odisha,Cuttack,1190925
2022,Q4,Odisha,Ganjam,1105095
2022,Q4,Odisha,Baleshwar,850800
2022,Q4,Odisha,Jajapur,743948
2022,Q4,Odisha,Sundargarh,689753
2022,Q4,Odisha,Puri,657668
2022,Q4,Odisha,Bhadrak,560896
2022,Q4,Odisha,Kendujhar,547019
2022,Q4,Odisha,Mayurbhanj,495920
2022,Q1,Odisha,Khordha,1827307
2022,Q1,Odisha,Cuttack,1021526
2022,Q1,Odisha,Ganjam,946066
2022,Q1,Odisha,Baleshwar,728990
2022,Q1,Odisha,Jajapur,636291
2022,Q1,Odisha,Sundargarh,592346
2022,Q1,Odisha,Puri,564442
2022,Q1,Odisha,Bhadrak,481063
2022,Q1,Odisha,Kendujhar,469295
2022,Q1,Odisha,Mayurbhanj,426398
2020,Q3,Odisha,Khordha,1232760
2020,Q3,Odisha,Cuttack,676102
2020,Q3,Odisha,Ganjam,611699
2020,Q3,Odisha,Baleshwar,481741
2020,Q3,Odisha,Jajapur,417525
2020,Q3,Odisha,Sundargarh,381666
2020,Q3,Odisha,Puri,369877
2020,Q3,Odisha,Bhadrak,314312
2020,Q3,Odisha,Kendujhar,302384
2020,Q3,Odisha,Mayurbhanj,270844
2020,Q2,Odisha,Khordha,1152010
2020,Q2,Odisha,Cuttack,624922
2020,Q2,Odisha,Ganjam,560047
2020,Q2,Odisha,Baleshwar,445299
2020,Q2,Odisha,Jajapur,387797
2020,Q2,Odisha,Sundargarh,346937
2020,Q2,Odisha,Puri,338770
2020,Q2,Odisha,Bhadrak,289015
2020,Q2,Odisha,Kendujhar,277734
2020,Q2,Odisha,Anugul,248700
2020,Q1,Odisha,Khordha,1083466
2020,Q1,Odisha,Cuttack,578471
2020,Q1,Odisha,Ganjam,512643
2020,Q1,Odisha,Baleshwar,410789
2020,Q1,Odisha,Jajapur,359087
2020,Q1,Odisha,Sundargarh,313040
2020,Q1,Odisha,Puri,311477
2020,Q1,Odisha,Bhadrak,265259
2020,Q1,Odisha,Kendujhar,253988
2020,Q1,Odisha,Anugul,228339
2020,Q4,Odisha,Khordha,1323794
2020,Q4,Odisha,Cuttack,732786
2020,Q4,Odisha,Ganjam,669973
2020,Q4,Odisha,Baleshwar,520429
2020,Q4,Odisha,Jajapur,451339
2020,Q4,Odisha,Sundargarh,418311
2020,Q4,Odisha,Puri,402457
2020,Q4,Odisha,Bhadrak,342034
2020,Q4,Odisha,Kendujhar,328498
2020,Q4,Odisha,Mayurbhanj,295929
2023,Q3,Odisha,Khordha,2395932
2023,Q3,Odisha,Cuttack,1349987
2023,Q3,Odisha,Ganjam,1256950
2023,Q3,Odisha,Baleshwar,967259
2023,Q3,Odisha,Jajapur,845882
2023,Q3,Odisha,Sundargarh,783750
2023,Q3,Odisha,Puri,746565
2023,Q3,Odisha,Bhadrak,637667
2023,Q3,Odisha,Kendujhar,624670
2023,Q3,Odisha,Mayurbhanj,568108
2023,Q2,Odisha,Khordha,2305026
2023,Q2,Odisha,Cuttack,1297120
2023,Q2,Odisha,Ganjam,1206180
2023,Q2,Odisha,Baleshwar,928537
2023,Q2,Odisha,Jajapur,812448
2023,Q2,Odisha,Sundargarh,752827
2023,Q2,Odisha,Puri,716985
2023,Q2,Odisha,Bhadrak,612055
2023,Q2,Odisha,Kendujhar,598879
2023,Q2,Odisha,Mayurbhanj,544278
2023,Q4,Odisha,Khordha,2480213
2023,Q4,Odisha,Cuttack,1401267
2023,Q4,Odisha,Ganjam,1305472
2023,Q4,Odisha,Baleshwar,1004861
2023,Q4,Odisha,Jajapur,878546
2023,Q4,Odisha,Sundargarh,813266
2023,Q4,Odisha,Puri,775121
2023,Q4,Odisha,Bhadrak,662206
2023,Q4,Odisha,Kendujhar,649376
2023,Q4,Odisha,Mayurbhanj,591163
2023,Q1,Odisha,Khordha,2220922
2023,Q1,Odisha,Cuttack,1246094
2023,Q1,Odisha,Ganjam,1156695
2023,Q1,Odisha,Baleshwar,890218
2023,Q1,Odisha,Jajapur,779435
2023,Q1,Odisha,Sundargarh,721849
2023,Q1,Odisha,Puri,687988
2023,Q1,Odisha,Bhadrak,587089
2023,Q1,Odisha,Kendujhar,573097
2023,Q1,Odisha,Mayurbhanj,519691
2019,Q4,Odisha,Khordha,1014134
2019,Q4,Odisha,Cuttack,534970
2019,Q4,Odisha,Ganjam,469522
2019,Q4,Odisha,Baleshwar,377976
2019,Q4,Odisha,Jajapur,332074
2019,Q4,Odisha,Puri,285955
2019,Q4,Odisha,Sundargarh,284913
2019,Q4,Odisha,Bhadrak,243586
2019,Q4,Odisha,Kendujhar,234041
2019,Q4,Odisha,Anugul,211167
2019,Q1,Odisha,Khordha,745457
2019,Q1,Odisha,Cuttack,372513
2019,Q1,Odisha,Ganjam,332190
2019,Q1,Odisha,Baleshwar,271095
2019,Q1,Odisha,Jajapur,236643
2019,Q1,Odisha,Sundargarh,198716
2019,Q1,Odisha,Puri,195690
2019,Q1,Odisha,Kendujhar,167750
2019,Q1,Odisha,Bhadrak,166600
2019,Q1,Odisha,Anugul,150627
2019,Q2,Odisha,Khordha,826007
2019,Q2,Odisha,Cuttack,417809
2019,Q2,Odisha,Ganjam,373530
2019,Q2,Odisha,Baleshwar,299757
2019,Q2,Odisha,Jajapur,260311
2019,Q2,Odisha,Sundargarh,226776
2019,Q2,Odisha,Puri,217206
2019,Q2,Odisha,Kendujhar,188657
2019,Q2,Odisha,Bhadrak,187084
2019,Q2,Odisha,Anugul,169261
2019,Q3,Odisha,Khordha,916565
2019,Q3,Odisha,Cuttack,472851
2019,Q3,Odisha,Ganjam,414068
2019,Q3,Odisha,Baleshwar,329289
2019,Q3,Odisha,Jajapur,290776
2019,Q3,Odisha,Sundargarh,253356
2019,Q3,Odisha,Puri,247141
2019,Q3,Odisha,Bhadrak,208757
2019,Q3,Odisha,Kendujhar,208218
2019,Q3,Odisha,Anugul,187022
2018,Q1,Odisha,Khordha,308390
2018,Q1,Odisha,Cuttack,135972
2018,Q1,Odisha,Ganjam,126158
2018,Q1,Odisha,Baleshwar,100919
2018,Q1,Odisha,Jajapur,81133
2018,Q1,Odisha,Sundargarh,75201
2018,Q1,Odisha,Puri,69923
2018,Q1,Odisha,Kendujhar,58968
2018,Q1,Odisha,Bhadrak,58050
2018,Q1,Odisha,Anugul,56617
2018,Q2,Odisha,Khordha,406689
2018,Q2,Odisha,Cuttack,187723
2018,Q2,Odisha,Ganjam,169386
2018,Q2,Odisha,Baleshwar,139968
2018,Q2,Odisha,Jajapur,114580
2018,Q2,Odisha,Sundargarh,102838
2018,Q2,Odisha,Puri,97920
2018,Q2,Odisha,Kendujhar,83050
2018,Q2,Odisha,Bhadrak,81249
2018,Q2,Odisha,Anugul,76885
2018,Q3,Odisha,Khordha,499472
2018,Q3,Odisha,Cuttack,239067
2018,Q3,Odisha,Ganjam,217114
2018,Q3,Odisha,Baleshwar,180370
2018,Q3,Odisha,Jajapur,149049
2018,Q3,Odisha,Sundargarh,130288
2018,Q3,Odisha,Puri,124859
2018,Q3,Odisha,Kendujhar,108387
2018,Q3,Odisha,Bhadrak,105030
2018,Q3,Odisha,Anugul,97856
2018,Q4,Odisha,Khordha,626645
2018,Q4,Odisha,Cuttack,310337
2018,Q4,Odisha,Ganjam,279943
2018,Q4,Odisha,Baleshwar,231913
2018,Q4,Odisha,Jajapur,201210
2018,Q4,Odisha,Sundargarh,166328
2018,Q4,Odisha,Puri,163528
2018,Q4,Odisha,Kendujhar,142222
2018,Q4,Odisha,Bhadrak,141565
2018,Q4,Odisha,Anugul,124644
2019,Q2,Puducherry,Puducherry,132703
2019,Q2,Puducherry,Karaikal,13827
2019,Q2,Puducherry,Yanam,6485
2019,Q2,Puducherry,Mahe,3443
2019,Q1,Puducherry,Puducherry,112798
2019,Q1,Puducherry,Karaikal,11549
2019,Q1,Puducherry,Yanam,5814
2019,Q1,Puducherry,Mahe,2898
2019,Q3,Puducherry,Puducherry,150642
2019,Q3,Puducherry,Karaikal,15875
2019,Q3,Puducherry,Yanam,7342
2019,Q3,Puducherry,Mahe,4009
2019,Q4,Puducherry,Puducherry,173175
2019,Q4,Puducherry,Karaikal,18134
2019,Q4,Puducherry,Yanam,8287
2019,Q4,Puducherry,Mahe,4696
2021,Q2,Puducherry,Puducherry,309892
2021,Q2,Puducherry,Karaikal,36328
2021,Q2,Puducherry,Yanam,13854
2021,Q2,Puducherry,Mahe,9887
2021,Q3,Puducherry,Puducherry,332193
2021,Q3,Puducherry,Karaikal,39011
2021,Q3,Puducherry,Yanam,14823
2021,Q3,Puducherry,Mahe,10582
2021,Q1,Puducherry,Puducherry,290107
2021,Q1,Puducherry,Karaikal,33876
2021,Q1,Puducherry,Yanam,13005
2021,Q1,Puducherry,Mahe,9291
2021,Q4,Puducherry,Puducherry,354425
2021,Q4,Puducherry,Karaikal,41695
2021,Q4,Puducherry,Yanam,15809
2021,Q4,Puducherry,Mahe,11238
2023,Q2,Puducherry,Puducherry,472714
2023,Q2,Puducherry,Karaikal,55776
2023,Q2,Puducherry,Yanam,21261
2023,Q2,Puducherry,Mahe,14680
2023,Q3,Puducherry,Puducherry,491130
2023,Q3,Puducherry,Karaikal,58040
2023,Q3,Puducherry,Yanam,22161
2023,Q3,Puducherry,Mahe,15219
2023,Q1,Puducherry,Puducherry,455449
2023,Q1,Puducherry,Karaikal,53685
2023,Q1,Puducherry,Yanam,20481
2023,Q1,Puducherry,Mahe,14204
2023,Q4,Puducherry,Puducherry,508901
2023,Q4,Puducherry,Karaikal,60186
2023,Q4,Puducherry,Yanam,23033
2023,Q4,Puducherry,Mahe,15718
2020,Q1,Puducherry,Puducherry,195398
2020,Q1,Puducherry,Karaikal,20775
2020,Q1,Puducherry,Yanam,9266
2020,Q1,Puducherry,Mahe,5469
2020,Q4,Puducherry,Puducherry,267946
2020,Q4,Puducherry,Karaikal,30982
2020,Q4,Puducherry,Yanam,12131
2020,Q4,Puducherry,Mahe,8567
2020,Q3,Puducherry,Puducherry,239707
2020,Q3,Puducherry,Karaikal,26910
2020,Q3,Puducherry,Yanam,11054
2020,Q3,Puducherry,Mahe,7502
2020,Q2,Puducherry,Puducherry,215429
2020,Q2,Puducherry,Karaikal,23612
2020,Q2,Puducherry,Yanam,10164
2020,Q2,Puducherry,Mahe,6395
2024,Q2,Puducherry,Puducherry,548672
2024,Q2,Puducherry,Karaikal,65076
2024,Q2,Puducherry,Yanam,24917
2024,Q2,Puducherry,Mahe,16821
2024,Q1,Puducherry,Puducherry,528736
2024,Q1,Puducherry,Karaikal,62687
2024,Q1,Puducherry,Yanam,23967
2024,Q1,Puducherry,Mahe,16273
2024,Q4,Puducherry,Puducherry,524684
2024,Q4,Puducherry,Karaikal,76256
2024,Q4,Puducherry,Yanam,22823
2024,Q4,Puducherry,Mahe,22395
2024,Q3,Puducherry,Puducherry,511282
2024,Q3,Puducherry,Karaikal,73963
2024,Q3,Puducherry,Yanam,22351
2024,Q3,Puducherry,Mahe,21736
2022,Q3,Puducherry,Puducherry,415847
2022,Q3,Puducherry,Karaikal,49034
2022,Q3,Puducherry,Yanam,18606
2022,Q3,Puducherry,Mahe,13083
2022,Q2,Puducherry,Puducherry,394977
2022,Q2,Puducherry,Karaikal,46573
2022,Q2,Puducherry,Yanam,17644
2022,Q2,Puducherry,Mahe,12469
2022,Q4,Puducherry,Puducherry,436067
2022,Q4,Puducherry,Karaikal,51364
2022,Q4,Puducherry,Yanam,19579
2022,Q4,Puducherry,Mahe,13639
2022,Q1,Puducherry,Puducherry,375238
2022,Q1,Puducherry,Karaikal,44201
2022,Q1,Puducherry,Yanam,16747
2022,Q1,Puducherry,Mahe,11865
2018,Q2,Puducherry,Puducherry,55513
2018,Q2,Puducherry,Karaikal,5393
2018,Q2,Puducherry,Yanam,3232
2018,Q2,Puducherry,Mahe,1442
2018,Q1,Puducherry,Puducherry,42117
2018,Q1,Puducherry,Karaikal,3628
2018,Q1,Puducherry,Yanam,2500
2018,Q1,Puducherry,Mahe,1073
2018,Q4,Puducherry,Puducherry,92629
2018,Q4,Puducherry,Karaikal,9578
2018,Q4,Puducherry,Yanam,4901
2018,Q4,Puducherry,Mahe,2386
2018,Q3,Puducherry,Puducherry,68634
2018,Q3,Puducherry,Karaikal,7174
2018,Q3,Puducherry,Yanam,3926
2018,Q3,Puducherry,Mahe,1812
2023,Q2,Rajasthan,Jaipur,6490210
2023,Q2,Rajasthan,Alwar,2015122
2023,Q2,Rajasthan,Jodhpur,1723274
2023,Q2,Rajasthan,Sikar,1295705
2023,Q2,Rajasthan,Ajmer,1191890
2023,Q2,Rajasthan,Nagaur,1140617
2023,Q2,Rajasthan,Kota,1123468
2023,Q2,Rajasthan,Bhilwara,1112475
2023,Q2,Rajasthan,Udaipur,1034200
2023,Q2,Rajasthan,Jhunjhunu,957879
2023,Q4,Rajasthan,Jaipur,6983265
2023,Q4,Rajasthan,Alwar,2179932
2023,Q4,Rajasthan,Jodhpur,1857340
2023,Q4,Rajasthan,Sikar,1402231
2023,Q4,Rajasthan,Ajmer,1284233
2023,Q4,Rajasthan,Nagaur,1236331
2023,Q4,Rajasthan,Kota,1214016
2023,Q4,Rajasthan,Bhilwara,1205003
2023,Q4,Rajasthan,Udaipur,1115611
2023,Q4,Rajasthan,Jhunjhunu,1036803
2023,Q1,Rajasthan,Jaipur,6247095
2023,Q1,Rajasthan,Alwar,1931404
2023,Q1,Rajasthan,Jodhpur,1654436
2023,Q1,Rajasthan,Sikar,1241633
2023,Q1,Rajasthan,Ajmer,1146113
2023,Q1,Rajasthan,Nagaur,1091225
2023,Q1,Rajasthan,Kota,1079455
2023,Q1,Rajasthan,Bhilwara,1065499
2023,Q1,Rajasthan,Udaipur,992940
2023,Q1,Rajasthan,Jhunjhunu,917983
2023,Q3,Rajasthan,Jaipur,6745507
2023,Q3,Rajasthan,Alwar,2100632
2023,Q3,Rajasthan,Jodhpur,1793526
2023,Q3,Rajasthan,Sikar,1350861
2023,Q3,Rajasthan,Ajmer,1240780
2023,Q3,Rajasthan,Nagaur,1190241
2023,Q3,Rajasthan,Kota,1170118
2023,Q3,Rajasthan,Bhilwara,1161222
2023,Q3,Rajasthan,Udaipur,1075658
2023,Q3,Rajasthan,Jhunjhunu,998478
2022,Q4,Rajasthan,Jaipur,5975863
2022,Q4,Rajasthan,Alwar,1843138
2022,Q4,Rajasthan,Jodhpur,1583620
2022,Q4,Rajasthan,Sikar,1185927
2022,Q4,Rajasthan,Ajmer,1097266
2022,Q4,Rajasthan,Nagaur,1043562
2022,Q4,Rajasthan,Kota,1031196
2022,Q4,Rajasthan,Bhilwara,1017032
2022,Q4,Rajasthan,Udaipur,949767
2022,Q4,Rajasthan,Jhunjhunu,876787
2022,Q3,Rajasthan,Jaipur,5696726
2022,Q3,Rajasthan,Alwar,1755844
2022,Q3,Rajasthan,Jodhpur,1517702
2022,Q3,Rajasthan,Sikar,1133443
2022,Q3,Rajasthan,Ajmer,1050146
2022,Q3,Rajasthan,Nagaur,1001401
2022,Q3,Rajasthan,Kota,982248
2022,Q3,Rajasthan,Bhilwara,971352
2022,Q3,Rajasthan,Udaipur,908034
2022,Q3,Rajasthan,Jhunjhunu,839052
2022,Q1,Rajasthan,Jaipur,5133527
2022,Q1,Rajasthan,Alwar,1570711
2022,Q1,Rajasthan,Jodhpur,1370206
2022,Q1,Rajasthan,Sikar,1017503
2022,Q1,Rajasthan,Ajmer,947827
2022,Q1,Rajasthan,Nagaur,901819
2022,Q1,Rajasthan,Kota,882916
2022,Q1,Rajasthan,Bhilwara,871188
2022,Q1,Rajasthan,Udaipur,816476
2022,Q1,Rajasthan,Jhunjhunu,752608
2022,Q2,Rajasthan,Jaipur,5409763
2022,Q2,Rajasthan,Alwar,1661785
2022,Q2,Rajasthan,Jodhpur,1444490
2022,Q2,Rajasthan,Sikar,1074986
2022,Q2,Rajasthan,Ajmer,998746
2022,Q2,Rajasthan,Nagaur,952752
2022,Q2,Rajasthan,Kota,931689
2022,Q2,Rajasthan,Bhilwara,921021
2022,Q2,Rajasthan,Udaipur,862053
2022,Q2,Rajasthan,Jhunjhunu,795815
2024,Q4,Rajasthan,Jaipur,5371681
2024,Q4,Rajasthan,Jaipur Rural,1471885
2024,Q4,Rajasthan,Kota,1393621
2024,Q4,Rajasthan,Sikar,1233678
2024,Q4,Rajasthan,Jodhpur,1196146
2024,Q4,Rajasthan,Udaipur,1185490
2024,Q4,Rajasthan,Bikaner,1180630
2024,Q4,Rajasthan,Alwar,1093734
2024,Q4,Rajasthan,Ajmer,1046582
2024,Q4,Rajasthan,Bhilwara,972156
2024,Q1,Rajasthan,Jaipur,7253881
2024,Q1,Rajasthan,Alwar,2270393
2024,Q1,Rajasthan,Jodhpur,1933181
2024,Q1,Rajasthan,Sikar,1461236
2024,Q1,Rajasthan,Ajmer,1334929
2024,Q1,Rajasthan,Nagaur,1290786
2024,Q1,Rajasthan,Kota,1264105
2024,Q1,Rajasthan,Bhilwara,1256777
2024,Q1,Rajasthan,Udaipur,1161696
2024,Q1,Rajasthan,Jhunjhunu,1080420
2024,Q3,Rajasthan,Jaipur,5219354
2024,Q3,Rajasthan,Jaipur Rural,1430124
2024,Q3,Rajasthan,Kota,1348463
2024,Q3,Rajasthan,Sikar,1185364
2024,Q3,Rajasthan,Jodhpur,1154160
2024,Q3,Rajasthan,Udaipur,1145180
2024,Q3,Rajasthan,Bikaner,1138132
2024,Q3,Rajasthan,Alwar,1057687
2024,Q3,Rajasthan,Ajmer,1011766
2024,Q3,Rajasthan,Bhilwara,934621
2024,Q2,Rajasthan,Jaipur,7522194
2024,Q2,Rajasthan,Alwar,2357624
2024,Q2,Rajasthan,Jodhpur,2004056
2024,Q2,Rajasthan,Sikar,1517703
2024,Q2,Rajasthan,Ajmer,1384040
2024,Q2,Rajasthan,Nagaur,1340651
2024,Q2,Rajasthan,Kota,1312699
2024,Q2,Rajasthan,Bhilwara,1304282
2024,Q2,Rajasthan,Udaipur,1205522
2024,Q2,Rajasthan,Jhunjhunu,1122057
2020,Q4,Rajasthan,Jaipur,3679874
2020,Q4,Rajasthan,Alwar,1096436
2020,Q4,Rajasthan,Jodhpur,956422
2020,Q4,Rajasthan,Sikar,712668
2020,Q4,Rajasthan,Ajmer,667786
2020,Q4,Rajasthan,Kota,625674
2020,Q4,Rajasthan,Nagaur,621602
2020,Q4,Rajasthan,Bhilwara,600492
2020,Q4,Rajasthan,Udaipur,572833
2020,Q4,Rajasthan,Jhunjhunu,527749
2020,Q2,Rajasthan,Jaipur,3182014
2020,Q2,Rajasthan,Alwar,915475
2020,Q2,Rajasthan,Jodhpur,786584
2020,Q2,Rajasthan,Sikar,589850
2020,Q2,Rajasthan,Ajmer,543273
2020,Q2,Rajasthan,Kota,529843
2020,Q2,Rajasthan,Nagaur,507139
2020,Q2,Rajasthan,Bhilwara,494563
2020,Q2,Rajasthan,Udaipur,470976
2020,Q2,Rajasthan,Jhunjhunu,438673
2020,Q1,Rajasthan,Jaipur,2966508
2020,Q1,Rajasthan,Alwar,825297
2020,Q1,Rajasthan,Jodhpur,695569
2020,Q1,Rajasthan,Sikar,522371
2020,Q1,Rajasthan,Kota,483202
2020,Q1,Rajasthan,Ajmer,482545
2020,Q1,Rajasthan,Bhilwara,442746
2020,Q1,Rajasthan,Nagaur,437492
2020,Q1,Rajasthan,Udaipur,422167
2020,Q1,Rajasthan,Jhunjhunu,386643
2020,Q3,Rajasthan,Jaipur,3433167
2020,Q3,Rajasthan,Alwar,1008033
2020,Q3,Rajasthan,Jodhpur,870849
2020,Q3,Rajasthan,Sikar,652190
2020,Q3,Rajasthan,Ajmer,605298
2020,Q3,Rajasthan,Kota,577117
2020,Q3,Rajasthan,Nagaur,564788
2020,Q3,Rajasthan,Bhilwara,548564
2020,Q3,Rajasthan,Udaipur,522695
2020,Q3,Rajasthan,Jhunjhunu,484411
2021,Q3,Rajasthan,Jaipur,4534297
2021,Q3,Rajasthan,Alwar,1374586
2021,Q3,Rajasthan,Jodhpur,1202937
2021,Q3,Rajasthan,Sikar,892015
2021,Q3,Rajasthan,Ajmer,835375
2021,Q3,Rajasthan,Nagaur,787565
2021,Q3,Rajasthan,Kota,777099
2021,Q3,Rajasthan,Bhilwara,760232
2021,Q3,Rajasthan,Udaipur,716657
2021,Q3,Rajasthan,Jhunjhunu,660246
2021,Q4,Rajasthan,Jaipur,4841883
2021,Q4,Rajasthan,Alwar,1474129
2021,Q4,Rajasthan,Jodhpur,1288773
2021,Q4,Rajasthan,Sikar,955025
2021,Q4,Rajasthan,Ajmer,892912
2021,Q4,Rajasthan,Nagaur,845508
2021,Q4,Rajasthan,Kota,831250
2021,Q4,Rajasthan,Bhilwara,816969
2021,Q4,Rajasthan,Udaipur,767224
2021,Q4,Rajasthan,Jhunjhunu,706897
2021,Q1,Rajasthan,Jaipur,3951866
2021,Q1,Rajasthan,Alwar,1185599
2021,Q1,Rajasthan,Jodhpur,1036855
2021,Q1,Rajasthan,Sikar,770103
2021,Q1,Rajasthan,Ajmer,723852
2021,Q1,Rajasthan,Kota,674683
2021,Q1,Rajasthan,Nagaur,674465
2021,Q1,Rajasthan,Bhilwara,651400
2021,Q1,Rajasthan,Udaipur,619264
2021,Q1,Rajasthan,Jhunjhunu,569602
2021,Q2,Rajasthan,Jaipur,4226231
2021,Q2,Rajasthan,Alwar,1273307
2021,Q2,Rajasthan,Jodhpur,1114131
2021,Q2,Rajasthan,Sikar,826855
2021,Q2,Rajasthan,Ajmer,776294
2021,Q2,Rajasthan,Nagaur,726871
2021,Q2,Rajasthan,Kota,722793
2021,Q2,Rajasthan,Bhilwara,701929
2021,Q2,Rajasthan,Udaipur,664816
2021,Q2,Rajasthan,Jhunjhunu,611825
2018,Q3,Rajasthan,Jaipur,1438305
2018,Q3,Rajasthan,Alwar,345018
2018,Q3,Rajasthan,Jodhpur,278965
2018,Q3,Rajasthan,Kota,218406
2018,Q3,Rajasthan,Sikar,216465
2018,Q3,Rajasthan,Ajmer,193489
2018,Q3,Rajasthan,Bhilwara,184376
2018,Q3,Rajasthan,Udaipur,176698
2018,Q3,Rajasthan,Nagaur,170749
2018,Q3,Rajasthan,Jhunjhunu,162942
2018,Q2,Rajasthan,Jaipur,1182983
2018,Q2,Rajasthan,Alwar,275869
2018,Q2,Rajasthan,Jodhpur,229215
2018,Q2,Rajasthan,Kota,184759
2018,Q2,Rajasthan,Sikar,178308
2018,Q2,Rajasthan,Ajmer,157947
2018,Q2,Rajasthan,Bhilwara,149055
2018,Q2,Rajasthan,Udaipur,146348
2018,Q2,Rajasthan,Nagaur,138240
2018,Q2,Rajasthan,Jhunjhunu,134221
2018,Q1,Rajasthan,Jaipur,900773
2018,Q1,Rajasthan,Alwar,203096
2018,Q1,Rajasthan,Jodhpur,172648
2018,Q1,Rajasthan,Kota,141411
2018,Q1,Rajasthan,Sikar,133983
2018,Q1,Rajasthan,Ajmer,118458
2018,Q1,Rajasthan,Udaipur,111919
2018,Q1,Rajasthan,Bhilwara,111753
2018,Q1,Rajasthan,Nagaur,101581
2018,Q1,Rajasthan,Jhunjhunu,98912
2018,Q4,Rajasthan,Jaipur,1733893
2018,Q4,Rajasthan,Alwar,426052
2018,Q4,Rajasthan,Jodhpur,352924
2018,Q4,Rajasthan,Kota,263264
2018,Q4,Rajasthan,Sikar,262310
2018,Q4,Rajasthan,Ajmer,237037
2018,Q4,Rajasthan,Bhilwara,225409
2018,Q4,Rajasthan,Udaipur,216089
2018,Q4,Rajasthan,Nagaur,210067
2018,Q4,Rajasthan,Jhunjhunu,196607
2019,Q2,Rajasthan,Jaipur,2290462
2019,Q2,Rajasthan,Alwar,593855
2019,Q2,Rajasthan,Jodhpur,499967
2019,Q2,Rajasthan,Sikar,366729
2019,Q2,Rajasthan,Kota,359152
2019,Q2,Rajasthan,Ajmer,335167
2019,Q2,Rajasthan,Bhilwara,314517
2019,Q2,Rajasthan,Nagaur,301083
2019,Q2,Rajasthan,Udaipur,296062
2019,Q2,Rajasthan,Jhunjhunu,275603
2019,Q1,Rajasthan,Jaipur,2060175
2019,Q1,Rajasthan,Alwar,517681
2019,Q1,Rajasthan,Jodhpur,434178
2019,Q1,Rajasthan,Sikar,318166
2019,Q1,Rajasthan,Kota,318085
2019,Q1,Rajasthan,Ajmer,290433
2019,Q1,Rajasthan,Bhilwara,276384
2019,Q1,Rajasthan,Nagaur,259361
2019,Q1,Rajasthan,Udaipur,258915
2019,Q1,Rajasthan,Jhunjhunu,238956
2019,Q3,Rajasthan,Jaipur,2520933
2019,Q3,Rajasthan,Alwar,666462
2019,Q3,Rajasthan,Jodhpur,557784
2019,Q3,Rajasthan,Sikar,412367
2019,Q3,Rajasthan,Kota,399776
2019,Q3,Rajasthan,Ajmer,378921
2019,Q3,Rajasthan,Bhilwara,352747
2019,Q3,Rajasthan,Nagaur,337197
2019,Q3,Rajasthan,Udaipur,336408
2019,Q3,Rajasthan,Jhunjhunu,307034
2019,Q4,Rajasthan,Jaipur,2746860
2019,Q4,Rajasthan,Alwar,742956
2019,Q4,Rajasthan,Jodhpur,622601
2019,Q4,Rajasthan,Sikar,464940
2019,Q4,Rajasthan,Kota,441496
